150;;30;150;;;;;;;;;;;;;;;;;;;;150;;;;;150;;;;;;;;;;;;;150;;;;;;79,2;;;31/3/2023
750;;30;700;50;;;;;;;;;;;;;;;;;;;750;;;;62,48;812,48;70,88;;;;;;;;;;10,24;81,12;731,36;62,5;37,5;;2;31,25;83,62;7,5;50;2023-03-32
