Personal_ppto_vs_Real;BDD_Cnet;Pospago;Cambio_de_Plan;Terminales;Paq_Llamad_Ilim;Seguros;Mplay;CDF_FOX_HBO;Retenciones;Prepago;NPS
;Núm_puntos;descripcion_slo;oficina;codigo_articulo;;;;;;provincia_ivr;q1nps
;Doc;ips;campania;nombre_articulo;;;;;;ciudad_zoni;q2satisfaccion
;Código_Terminal_Tarjeta;dolarazo;nom_distribuidor;nota_credito_masiva;;;;;;fuente;q3solucion
;Código_Promo;cruce_cnet;ciudad_distribuidor;precio_base;;;;;;operadora_origen;q4bioseguridad
;Monto_Equipo_Chip;locales;provincia_distribuidor;precio_con_override;;;;;;ejecutivo_asignado_ptr;q5comentarios
;Aplica_porcentaje;ejecutivo;region_distribuidor;mrc_ov_created_by;;;;;;area_ptr;fuente_respuesta
;Aplica_Pago_Anticipado;tipo;delta_tarifa;fecha_override;;;;;;codigo_vendedor_da_ptr;tipo_encuestado
;Importe_Pago_Anticipado;dia;delta_final;forma_pago_factura;;;;;;jefatura_ptr;motivo
;NAE;plan_$11_42;tipo_movimiento;cuota_inicial;;;;;;tipo_cliente;submotivo
;Es_televenta;plan_tele;cp_cruce_parque;tarjeta_banco;;;;;;nom_email;tienda
;Aplica_50_adulto_mayor;planes_total;cp_nc;cuotas;;;;;;provincia_ms;p_d
;Aplica_50_Conadis;planes_$11_42_y_tele;codigo_distribuidor;tarjeta_banco2;;;;;;sub_canal;encuestas
;Es_venta_externa;modabilidad_act;nom_plaza;cuotas2;;;;;;overwrite;
;Cupo_Crediticio;comision_upfront;codigo_plaza;mes_factura;;;;;;descuento;
;Tipo_de_cliente;comision_bc;nuevo_subcanal;anio_factura;;;;;;codigo_usuario;
;Valor_equipo_sin_iva;comision_bf;region;num_factura_validada;;;;;;orden;
;Descarga_App_Movistar_Play;;canal_comercial;cantidad_validada;;;;;;marca;
;Bono_Movistar_Play_ayudó;;canal_comercial_final;monto_validado;;;;;;region_pc;
;ACT;;region_final;canal_comercial;;;;;;can_com_f;
;BI_FECHA;;dif_tarifas;cod_distribuidor;;;;;;alta_rec;
;TIENDA;;tipo_movimiento_final;nombre_distribuidor;;;;;;tipo_fin;
;PRODUCTOS;;dif_tarifas_ov;cod_plaza;;;;;;tienda;
;SERVICIOS;;tipo_movimiento_ov_final;region_fin;;;;;;ejecutivo;
;CRUCE_POSPAGO_BI;;dif_tarifas_desct;formas_de_pago;;;;;;dia;
;ALTAS_BI;;tipo_movimiento_desct_final;financiamiento_terceros;;;;;;;
;TIPO_ALTA_BI;;tipo_movimiento_ov_final_2;tipo_venta_2;;;;;;;
;TARIFA_BASICA_BI;;cruce_controlnet;cruce_controlnet;;;;;;;
;TERMINALES_ALTA;;dia;locales;;;;;;;
;TIPO_PAGO_TERMINALES;;tienda;ejecutivo;;;;;;;
;TERMINALES_MONTO;;ejecutivo;tipo_alta;;;;;;;
;CAMBIO_DE_PLAN;;retencion_bi;tipo_alta_comisiones;;;;;;;
;CAMBIO_DE_PLAN_DIF;;planes_adulto_mayor;dia;;;;;;;
;PAQ_LLAMADAS;;;comisiones_terminales;;;;;;;
;MPLAY;;;comisiones_renovaciones;;;;;;;
;SEGUROS;;;comisiones_bono;;;;;;;
;CDF_FOX_HBO;;;comision_total;;;;;;;
;PREPAGO;;;proy_com_terminales;;;;;;;
;RETENCION;;;proy_com_renov;;;;;;;
;FECHA_OPERACION;;;proy_com_2;;;;;;;
;Cruce_Hibridos;;;proy_com_total;;;;;;;
